word,list
cosmos,10
universe,10
interstellar,10
terrestrial,10
celestial,10
astronomy,10
astrology,10
astronaut,10
comet,10
meteorite,10
crater,10
dust,10
ash,10
envelope,10
chunk,10
spacecraft,10
spaceship,10
probe,10
module,10
propulsion,10
pressure,10
dynamics,10
motion,10
vent,10
tail,10
curve,10
exploration,10
expedition,10
flyby,10
observatory,10
telescope,10
spectacle,10
orbit,10
ecliptic,10
diameter,10
radius,10
substance,10
composition,10
compoundnadj,10
fossil,10
sample,10
specimen,10
particle,10
molecule,10
atom,10
ion,10
electron,10
quantum,10
liquid,10
fluid,10
solid,10
synthesise,10
formation,10
method,10
spectrum,10
dimension,10
frequency,10
antenna,10
circuit,10
